polity_code,polity_name,polity_type,continent,area_deg2,centroid_lon,centroid_lat,n_parts,n_vertices,n_holes,compactness,is_valid,span_lon,span_lat
CEU-1800-2025,Ceuta Y Melilla,dependency,Africa,0.0029036149999997767,-4.668722585409301,35.72582113951058,8,111,0,0.11680266293257538,True,3.003,0.7471999999999994
SHN-1800-2025,"Saint Helena, Ascension and Tristan da Cunha",dependency,Africa,0.03797234999999999,-10.480398634335216,-25.72047537799651,36,526,0,0.09171125891605507,True,8.7896,32.481899999999996
ST.-1800-2025,St. Helena,dependency,Africa,0.03797234999999999,-10.480398634335216,-25.72047537799651,36,526,0,0.09171125891605507,True,8.7896,32.481899999999996
REU-1816-2025,Réunion,dependency,Africa,0.21849905999999994,55.532731513230914,-21.13332113783312,1,243,0,0.6782457016734473,True,0.6211000000000055,0.5181000000000004
MYT-1843-1914,Mayotte and Noissi-be,dependency,Africa,50.970589798663504,46.69764006092706,-19.371451910389577,434,14252,0,0.07694390693132536,True,7.298000000000002,13.657300000000001
MYT-2002-2025,Mayotte,dependency,Africa,0.03262480499999999,45.14835812555289,-12.821244415637109,18,453,0,0.08696120025332481,True,0.2822000000000031,0.370099999999999
GEA-1884-2025,German East Africa (Tanganyika),mandate,Africa,76.79480087227222,34.8104057000736,-6.271807401212546,2,562,0,0.5536402042522212,True,11.101463945340754,10.743200018616065
TAN-1891-1920,Tanzania (1891-1920),mandate,Africa,81.05080873626483,34.55265287040684,-6.084465035907505,2,583,0,0.592015915886009,True,11.587845945793703,10.743200018616065
BRI-1919-1961,British Cameroon (1919-1961),mandate,Africa,7.170517394466322,11.17339620629098,7.5164135221894695,2,345,0,0.13922970515300323,True,6.147291005725094,9.175356496033842
CAM-1919-1961,Cameroon (1919-1961),mandate,Africa,34.569451478481916,13.039613119497238,5.687088227921518,1,544,0,0.2942322169271816,True,6.748838164009726,11.430836010645876
RWA-1920-1962,Rwanda and Burundi (1920-1962),mandate,Africa,4.256007863992573,29.90179745352973,-2.7040860285614086,1,162,0,0.5185863323165771,True,2.0388179282451517,3.3958775814973303
TAN-1920-1922,Tanzania (1920-1922),mandate,Africa,76.79480087309764,34.810405700120356,-6.271807401197503,2,562,0,0.5536402095322435,True,11.101463945340754,10.743200018616065
TAN-1922-1964,Tanzania (1922-1964),mandate,Africa,76.79480087227222,34.8104057000736,-6.271807401212546,2,562,0,0.5536402042522212,True,11.101463945340754,10.743200018616065
TZA-1961-1964,Tanzania (1961-1964),mandate,Africa,76.79480087227222,34.8104057000736,-6.271807401212546,2,562,0,0.5536402042522212,True,11.101463945340754,10.743200018616065
ESH-1800-2025,Western Sahara,disputed,Africa,24.001607602299206,-13.136558893333852,24.661679421527513,1,298,0,0.36525521162113656,True,8.435136007855704,6.9096541269647815
ETH-1800-2025,Ethiopia (old),aggregate,Africa,92.72341359175749,39.61600831182321,8.626224382696789,1,560,0,0.5319138402888296,True,14.995809252061122,11.476945010688766
F62-1800-1993,Ethiopia PDR,aggregate,Africa,102.90147025090396,39.540379318447,9.292124418707788,2,742,0,0.4149335414863125,True,14.995809252061122,14.59619051359384
F206-1800-2011,Sudan (old),aggregate,Africa,213.38035529407102,29.76662734264365,14.249651553622009,1,1002,0,0.38807019319005404,True,19.53335479037389,18.60142913859555
GOL-1843-2025,Gold Coast,aggregate,Africa,17.42572601774234,-1.3924342071470424,7.906004978774948,2,376,0,0.4005599513222164,True,4.450000004144442,6.428609005987071
SPA-1858-2025,Spanish Guinea,aggregate,Africa,2.1881368329049025,10.340154646737757,1.709621923774379,3,178,0,0.3950602211825006,True,5.751524178175146,5.22328308707813
NGA-1861-2025,Nigeria (old),aggregate,Africa,71.1022437523993,7.873992467529015,9.616965059081448,1,606,0,0.4381948215440003,True,11.410420788858204,9.618655008957958
SUD-1882-2025,Sudan (Anglo-Egyptian),aggregate,Africa,208.65461573113606,30.04993629441287,13.831607742165826,1,884,0,0.4931010645220771,True,16.77499551562292,18.738827017451868
