excel_region,match_status,polity_code,parent_code,has_polygon,polygon_source,quality_tier,needs_subnational
spain: canary,subnational,CAN-1800-2025,CAN-1800-2025,True,GADM admin-1: ESP [Islas Canarias],2,True
spanish fernando po,matched,SPA-1858-2025,,True,CShapes 2.0 (1900-1968),1,False
spanish guinea,matched,SPA-1858-2025,,True,CShapes 2.0 (1900-1968),1,False
spanish guinea and fernando po,matched,SPA-1858-2025,,True,CShapes 2.0 (1900-1968),1,False
spanish morocco,matched,SPA-1912-1956,,True,CShapes 2.0 (1912-1956),1,False
spanish morocco: ceuta,subnational,SPA-1912-1956,SPA-1912-1956,True,GADM admin-1: ESP [Ceuta y Melilla],2,True
spanish morocco: melilla,subnational,SPA-1912-1956,SPA-1912-1956,True,GADM admin-1: ESP [Ceuta y Melilla],2,True
sweden,matched,SWE-1800-2025,,True,CShapes 2.0 (1905-2019),1,False
switzerland,matched,CHE-1800-2025,,True,CShapes 2.0 (1886-2019),1,False
territory of the saar basin,matched,DEU-1920-1938,,True,CShapes 2.0 (1990-2019),1,False
turkey,matched,TUR-1920-2025,,True,CShapes 2.0 (1923-2019),1,False
turkey in asia,subnational,TUR-1920-2025,TUR-1920-2025,True,"GADM admin-0 minus admin-1: TUR - [Edirne, Kirklareli, Tekirdag]",3,True
turkey in europe,subnational,TUR-1920-2025,TUR-1920-2025,True,"GADM admin-1 merged: TUR [Edirne, Kirklareli, Tekirdag]",3,True
uk,matched,GBR-1800-1921,,True,CShapes 2.0 (1886-1921),1,False
uk: england and wales,subnational,GBR-1800-1921,GBR-1800-1921,True,"GADM admin-1 merged: GBR [England, Wales]",2,True
uk: great britain,subnational,GBR-1800-1921,GBR-1800-1921,True,"GADM admin-1 merged: GBR [England, Wales, Scotland]",2,True
uk: north ireland,subnational,GBR-1800-1921,GBR-1800-1921,True,GADM admin-1: GBR [Northern Ireland],2,True
uk: scotland,subnational,GBR-1800-1921,GBR-1800-1921,True,GADM admin-1: GBR [Scotland],2,True
union of south africa,matched,ZAF-1828-2025,,True,CShapes 2.0 (1920-2019),1,False
union of south africa (rural communities),matched,ZAF-1828-2025,,True,CShapes 2.0 (1920-2019),1,False
union of south africa (trade with foreign countries),matched,ZAF-1828-2025,,True,CShapes 2.0 (1920-2019),1,False
union of south africa (trade with the rhodesias and south west africa),matched,ZAF-1828-2025,,True,CShapes 2.0 (1920-2019),1,False
union of south africa (urban communities),matched,ZAF-1828-2025,,True,CShapes 2.0 (1920-2019),1,False
union of south africa: cape province,subnational,ZAF-1828-2025,ZAF-1828-2025,True,"GADM admin-1 merged: ZAF [Western Cape, Eastern Cape, Northern Cape]",3,True
uruguay,matched,URY-1828-2025,,True,CShapes 2.0 (1886-2019),1,False
us alaska,matched,ALA-1800-1959,,True,CShapes 2.0 (1886-1959),1,False
us alaska (trade with the united states),matched,ALA-1800-1959,,True,CShapes 2.0 (1886-1959),1,False
us guam,matched,GUM-1800-2025,,True,GADM 4.1,1,False
us hawaii,matched,HAW-1898-1959,,True,CShapes 2.0 (1898-1959),1,False
us hawaii (trade with foreign countries),matched,HAW-1898-1959,,True,CShapes 2.0 (1898-1959),1,False
us hawaii (trade with the united states),matched,HAW-1898-1959,,True,CShapes 2.0 (1898-1959),1,False
us panama canal,matched,PAN-1800-1979,,True,CShapes 2.0 (1903-2019),1,False
us philippines,matched,PHL-1800-2025,,True,CShapes 2.0 (1898-1946),1,False
us philippines (area in production),matched,PHL-1800-2025,,True,CShapes 2.0 (1898-1946),1,False
us philippines (total area and area in production),matched,PHL-1800-2025,,True,CShapes 2.0 (1898-1946),1,False
us philippines (total area),matched,PHL-1800-2025,,True,CShapes 2.0 (1898-1946),1,False
us puerto rico,matched,PRI-1800-2025,,True,GADM 4.1,1,False
