prefix,code1,name1,type1,code2,name2,type2,overlap_years,category
SPA,SPA-1858-2025,Spanish Guinea,aggregate,SPA-1912-1956,Spanish Morocco (1912-1956),colonial,45,different_type_dual
SPA,SPA-1858-2025,Spanish Guinea,aggregate,SPA-1912-1958,Spanish West Africa (1912-1958),colonial,47,different_type_dual
SPA,SPA-1858-2025,Spanish Guinea,aggregate,SPA-1958-1975,Western Sahara (1958-1975),historical,18,different_type_dual
SPA,SPA-1912-1956,Spanish Morocco (1912-1956),colonial,SPA-1912-1958,Spanish West Africa (1912-1958),colonial,45,iso_collision
SPA,SPA-1912-1958,Spanish West Africa (1912-1958),colonial,SPA-1958-1975,Western Sahara (1958-1975),historical,1,different_type_dual
ST.,ST.-1800-2025,St. Helena,dependency,ST.-1800-1838,St. Lucía,historical,39,different_type_dual
ST.,ST.-1800-2025,St. Helena,dependency,ST.-1800-1833,St. Vincent,historical,34,different_type_dual
ST.,ST.-1800-1838,St. Lucía,historical,ST.-1800-1833,St. Vincent,historical,34,iso_collision
SWE,SWE-1800-2025,Sweden,sovereign,SWE-1800-1905,Sweden (to 1905),historical,106,same_entity_period_split
SWE,SWE-1800-2025,Sweden,sovereign,SWE-1816-1870,Saxe-Weimar,historical,55,different_type_dual
SWE,SWE-1800-1905,Sweden (to 1905),historical,SWE-1816-1870,Saxe-Weimar,historical,55,iso_collision
SYR,SYR-1918-2025,Syria and Lebanon,aggregate,SYR-1920-1967,Syrian Arab Republic (1920-1967),historical,48,different_type_dual
SYR,SYR-1918-2025,Syria and Lebanon,aggregate,SYR-1946-1967,Syrian Arab Republic (1946-1967),historical,22,different_type_dual
SYR,SYR-1918-2025,Syria and Lebanon,aggregate,SYR-1967-2025,Syrian Arab Republic,sovereign,59,different_type_dual
SYR,SYR-1920-1967,Syrian Arab Republic (1920-1967),historical,SYR-1946-1967,Syrian Arab Republic (1946-1967),historical,22,same_entity_period_split
SYR,SYR-1920-1967,Syrian Arab Republic (1920-1967),historical,SYR-1967-2025,Syrian Arab Republic,sovereign,1,same_entity_period_split
SYR,SYR-1946-1967,Syrian Arab Republic (1946-1967),historical,SYR-1967-2025,Syrian Arab Republic,sovereign,1,same_entity_period_split
VAN,VAN-1828-1900,Van Diemen's Land (Tasmania),historical,VAN-1849-1866,Vancouver's Island,historical,18,iso_collision
WES,WES-1800-1900,Western Australia (to 1900),historical,WES-1838-1900,Western Australia,historical,63,same_entity_period_split
WES,WES-1948-1967,West Bank (1948-1967),dependency,WES-1949-1969,Dutch new Guinea (1949-1969),colonial,19,different_type_dual
