iso3,name,cs_name,area_gadm_km2,area_cshapes_km2,area_ratio,iou,centroid_offset_deg
PRK,North Korea,"Korea, People's Republic of",122755.1160441677,122203.03783979442,0.9955026053319468,0.9720355329340088,0.021151349803945577
PRT,Portugal,Portugal,91878.03303401795,91872.0604262023,0.9999349941697877,0.9772765912235953,0.042428804231362506
PRY,Paraguay,Paraguay,399586.1400992153,398808.5061628249,0.998053901628827,0.9899208078791025,0.006984546391170709
QAT,Qatar,Qatar,11625.014400146229,11089.271422463407,0.9539146396518802,0.9216965174971975,0.032987526440801995
ROU,Romania,Rumania,238338.60485184414,237379.4727222183,0.9959757583954054,0.9896093118562338,0.01672150625774137
RUS,Russia,Russia (Soviet Union),16925824.622186318,16908413.817545015,0.9989713467420381,0.988154117739718,0.15944795343720003
RWA,Rwanda,Rwanda,25277.68552381826,25137.96887803376,0.9944727279064829,0.9697819786871062,0.009120343790386001
SAU,Saudi Arabia,Saudi Arabia,1915940.5922129694,1924635.9588494285,1.0045384322832347,0.991137944191421,0.03357591372845966
SDN,Sudan,Sudan,1872132.196734928,1859619.9563609115,0.993316582880291,0.984154925538238,0.08692701663187721
SEN,Senegal,Senegal,196889.70906831443,195995.8034608319,0.9954598662788802,0.9824834754108497,0.008350192473941573
SGP,Singapore,Singapore,697.024685832309,544.7220041906562,0.7814960004468278,0.6872072263876857,0.007243778216797213
SLB,Solomon Islands,Solomon Islands,28532.827672485015,26861.270376674416,0.9414163462872441,0.7984981340003788,0.07167416067354852
SLE,Sierra Leone,Sierra Leone,72601.13238096822,72479.18089207694,0.9983202536256411,0.9819490463582191,0.004004975469558544
SLV,El Salvador,El Salvador,20422.74350449142,20555.871406697,1.0065186101062427,0.9679642960532266,0.006558727300619547
SMR,San Marino,Albania,61.21556069643859,28655.677232344762,468.1109983529384,0.0,8.105455522115228
SOM,Somalia,Somalia,633535.4511697772,636242.2220657066,1.0042724852901783,0.9890202266763184,0.007697821652608739
SRB,Serbia,Serbia,78231.64616549427,77183.12340118006,0.9865972043832987,0.9656700835544838,0.016745769703455166
SSD,South Sudan,South Sudan,628098.3225531052,627318.3427176817,0.9987581883163562,0.980966027234913,0.03677644129765927
STP,São Tomé and Príncipe,Equatorial Guinea,1002.2340003362863,26920.807443661917,26.86080040652083,0.0,3.8408193695501454
SUR,Suriname,Surinam,146425.55152060953,144985.33348361784,0.990164161773439,0.9822254919633348,0.010696963953110377
SVK,Slovakia,Slovakia,49099.2719263445,48927.142315039644,0.9964942532841815,0.9806628336403902,0.008483605397434906
SVN,Slovenia,Slovenia,19980.928790929174,20426.216199157727,1.0222856210983897,0.9553539462347519,0.008674417931713726
SWE,Sweden,Sweden,450047.27212877764,445979.4072961566,0.9909612498851964,0.9770511842801028,0.0263408718052345
SWZ,Swaziland,Swaziland (Eswatini),17383.299881284085,17110.825697056378,0.9843255201205457,0.9761666166878135,0.0028710925791002612
SYC,Seychelles,Seychelles,491.2000371109574,377.69189477170045,0.7689166657908526,0.24971199167986866,0.6302155839575424
SYR,Syria,Syria,186918.36030097012,186891.76622125495,0.9998577235555012,0.9919311175080228,0.005751060946488497
TCD,Chad,Chad,1269956.8706085905,1271887.5271642476,1.0015202536403711,0.995712896095259,0.004157080154784329
TGO,Togo,Togo,56995.313255824025,57094.284653709045,1.0017364830936324,0.9784295084630606,0.005336958780485789
THA,Thailand,Thailand,514054.5593576496,512205.11505165655,0.996402241216761,0.9824335465901268,0.017438088948549375
TJK,Tajikistan,Tajikistan,142113.1452351657,142405.03793313142,1.002053945801303,0.971122021345087,0.004834281593840286
TKM,Turkmenistan,Turkmenistan,489592.79846867966,471678.24220887426,0.9634092733474889,0.9535756411580877,0.21681281042717987
TLS,Timor-Leste,East Timor,14915.477299784025,15024.130461560128,1.0072845916756332,0.9427195815910216,0.0034266795020465183
TON,Tonga,Tonga,763.4180858830184,462.3328324614774,0.6056089592463788,0.3868165375284068,0.5463826391465092
TTO,Trinidad and Tobago,Trinidad and Tobago,5159.132598803209,4996.393626421961,0.9684561369058436,0.9211617010704136,0.008716935881216917
TUN,Tunisia,Tunisia,154865.4365448138,155359.28648887316,1.0031888971166039,0.9760901650331757,0.017734371503484773
TUR,Turkey,Turkey (Ottoman Empire),780704.4579046082,779964.4089718786,0.9990520754361825,0.9922093306190208,0.0035759604985115497
TUV,Tuvalu,Tuvalu,41.72560432378908,28.98417185902827,0.6946375571726227,0.003094917276773263,0.5245197835196163
TWN,Taiwan,Taiwan,36406.33596099738,35989.77875143347,0.9885581122469954,0.9552060461498109,0.0055329518054490654
TZA,Tanzania,Tanzania (Tanganyika),940576.3531333683,941361.154898384,1.0008343838991924,0.9930434775258767,0.004788427381892054
UGA,Uganda,Uganda,241439.7346766827,242080.1565976469,1.002652512527906,0.990645284191896,0.0057681296088084874
UKR,Ukraine,Ukraine,601362.6097723364,571665.1483808727,0.9506163820149932,0.9415610291877701,0.21783107501926438
URY,Uruguay,Uruguay,177465.59179300317,177856.82544410907,1.0022045605976522,0.9882373235529565,0.008238498587747698
USA,United States,United States of America,9472981.189456878,9462897.743799828,0.9989355573018267,0.9919224406346615,0.09592313423648567
UZB,Uzbekistan,Uzbekistan,447554.4229269883,446590.6932997707,0.9978466761183705,0.9766770473215417,0.0016230666187396286
VCT,Saint Vincent and the Grenadines,Antigua & Barbuda,397.9454024762463,536.8921448845913,1.3491603158215626,0.0,4.121870876041987
VEN,Venezuela,Venezuela,912492.672085017,910834.166765751,0.9981824453280524,0.9858922955802037,0.025906049562146365
VNM,Vietnam,"Vietnam, Democratic Republic of",329276.2954983672,324216.18363213545,0.9846326263523671,0.9668992553727144,0.01570458015923323
VUT,Vanuatu,Vanuatu,12318.98571163325,12264.737507951755,0.9955963741698096,0.7787002097418997,0.043873103395912084
WSM,Samoa,Samoa,2853.3594726409387,2937.607740253982,1.0295259915271266,0.8816147085267775,0.018553822307342753
ZAF,South Africa,South Africa,1219709.5768224986,1220229.373748475,1.0004261645032997,0.9949807940060069,0.00597728844413677
ZMB,Zambia,Zambia,750491.5885935586,751924.2446083648,1.0019089567912294,0.9914281618752999,0.01077456558428466
ZWE,Zimbabwe,Zimbabwe (Rhodesia),390680.7251885371,389852.74287045276,0.9978806676022095,0.9939782815301035,0.0029253309512817295
