polity_code,polity_name,polity_type,continent,start_year,end_year,iso3_code,node_type,in_degree,out_degree,total_degree
CAN-1800-2025,Canary Islands,dependency,Africa,1800,2025,CAN,polity,4,1,5
CEU-1800-2025,Ceuta Y Melilla,dependency,Africa,1800,2025,CEU,polity,0,1,1
SHN-1800-2025,"Saint Helena, Ascension and Tristan da Cunha",dependency,Africa,1800,2025,SHN,polity,0,1,1
ST.-1800-2025,St. Helena,dependency,Africa,1800,2025,,polity,0,1,1
REU-1816-2025,Réunion,dependency,Africa,1816,2025,REU,polity,1,1,2
MYT-1843-1914,Mayotte and Noissi-be,dependency,Africa,1843,1914,MYT,polity,0,1,1
MYT-2002-2025,Mayotte,dependency,Africa,2002,2025,MYT,polity,0,1,1
GEA-1884-2025,German East Africa (Tanganyika),mandate,Africa,1884,2025,GEA,polity,1,1,2
TAN-1891-1920,Tanzania (1891-1920),mandate,Africa,1891,1920,TAN,polity,0,4,4
BRI-1919-1961,British Cameroon (1919-1961),mandate,Africa,1919,1961,BRI,polity,1,1,2
CAM-1919-1961,Cameroon (1919-1961),mandate,Africa,1919,1961,CAM,polity,0,1,1
RWA-1920-1962,Rwanda and Burundi (1920-1962),mandate,Africa,1920,1962,RWA,polity,5,4,9
TAN-1920-1922,Tanzania (1920-1922),mandate,Africa,1920,1922,TAN,polity,3,4,7
TAN-1922-1964,Tanzania (1922-1964),mandate,Africa,1922,1964,TAN,polity,3,1,4
TZA-1961-1964,Tanzania (1961-1964),mandate,Africa,1961,1964,TZA,polity,1,4,5
ESH-1800-2025,Western Sahara,disputed,Africa,1800,2025,ESH,polity,0,1,1
ETH-1800-2025,Ethiopia (old),aggregate,Africa,1800,2025,ETH,polity,0,8,8
F62-1800-1993,Ethiopia PDR,aggregate,Africa,1800,1993,,polity,0,1,1
F206-1800-2011,Sudan (old),aggregate,Africa,1800,2011,,polity,0,1,1
GOL-1843-2025,Gold Coast,aggregate,Africa,1843,2025,GOL,polity,0,1,1
SPA-1858-2025,Spanish Guinea,aggregate,Africa,1858,2025,SPA,polity,0,5,5
NGA-1861-2025,Nigeria (old),aggregate,Africa,1861,2025,NGA,polity,0,3,3
SUD-1882-2025,Sudan (Anglo-Egyptian),aggregate,Africa,1882,2025,SUD,polity,0,6,6
BAS-1884-2025,Basutoland,aggregate,Africa,1884,2025,BAS,polity,0,1,1
BSO-1884-2025,British Protectorate (British Somaliland),aggregate,Africa,1884,2025,BSO,polity,0,1,1
CMR-1884-2025,Cameroon (Kamerun),aggregate,Africa,1884,2025,CMR,polity,0,3,3
BEC-1885-2025,Bechuanaland Protectorate,aggregate,Africa,1885,2025,BEC,polity,0,1,1
BEL-1885-2025,Belgian Congo,aggregate,Africa,1885,2025,BEL,polity,0,1,1
FSM-1887-2025,French Somaliland,aggregate,Africa,1887,2025,FSM,polity,0,2,2
NYA-1891-2025,Nyasaland Protectorate (Malawi),aggregate,Africa,1891,2025,NYA,polity,0,1,1
BEA-1895-2025,British East Africa,aggregate,Africa,1895,2025,BEA,polity,0,1,1
FWA-1895-2025,French West Africa,aggregate,Africa,1895,2025,FWA,polity,0,1,1
