polity_code,polity_name,start_year,end_year,polity_type,iso3_code,cow_code,continent,wiki_status,last_ingest,polygon_source,polygon_feature_id,polygon_feature_year,polygon_status,polygon_area_km2,predecessor,successor
BLX-1921-1999,Belgium-Luxembourg Economic Union,1921,1999,national,BEL,,Europe,draft,2026-06-25,constructed,BLX-1921-1999,,assigned,33223,,
BLZ-1800-2025,Belize,1800,2025,national,BLZ,80,North America,draft,2026-04-13,cshapes-2.0,80,1886,assigned,,,
BMB-1800-1899,Bemba Kingdom,1800,1899,national,NA,NA,Africa,draft,2026-04-13,paine-2024,Bemba,,assigned,,,ZMB-1964-2025
BNB-1881-1963,British North Borneo,1881,1963,national,MYS,823,Asia,draft,2026-06-24,cshapes-2.0,823,1889,assigned,72620,,MYS-1963-1965
BND-1800-1887,Kingdom of Bundu,1800,1887,national,NA,NA,Africa,draft,2026-04-13,paine-2024,Bundu,,assigned,,,SEN-1960-2025
BNU-1800-1893,Bornu Empire,1800,1893,national,NA,NA,Africa,draft,2026-04-15,paine-2024,Borno,,assigned,,,NNI-1899-1904
BNY-1800-1899,Kingdom of Bunyoro,1800,1899,national,NA,NA,Africa,draft,2026-04-13,paine-2024,Bunyoro,,assigned,,,UGA-1894-1902; UGA-1962-2025
BOL-1825-1903,Bolivia (to 1903),1825,1903,national,BOL,145,South America,draft,2026-04-12,cshapes-2.0,145,1886,assigned,,,BOL-1903-1909
BOL-1903-1909,Bolivia (1903-1909),1903,1909,national,BOL,145,South America,draft,2026-04-12,cshapes-2.0,145,1903,assigned,,BOL-1825-1903,BOL-1909-1938
BOL-1909-1938,Bolivia (1909-1938),1909,1938,national,BOL,145,South America,draft,2026-04-12,cshapes-2.0,145,1909,assigned,,BOL-1903-1909,BOL-1938-2025
BOL-1938-2025,Bolivia,1938,2025,national,BOL,145,South America,reviewed,2026-04-12,cshapes-2.0,145,1938,assigned,,BOL-1909-1938,
BRA-1800-2025,Brazil,1800,2025,national,BRA,140,South America,draft,2026-04-12,cshapes-2.0,140,1960,assigned,,,
BRB-1800-2025,Barbados,1800,2025,national,BRB,53,North America,draft,2026-06-09,gadm-4.1-adm0,BRB,,proxy,,,
BRG-1800-1897,Borgu Confederacy,1800,1897,national,NA,NA,Africa,draft,2026-04-13,paine-2024,Borgu,,assigned,,,NGA-1914-1960; BEN-1960-2025
BRN-1816-1888,Brunei (greater),1816,1888,national,BRN,835,Asia,draft,2026-04-12,cshapes-2.0,835,1888,assigned,,,BRN-1888-2025
BRN-1888-2025,Brunei Darussalam,1888,2025,national,BRN,835,Asia,draft,2026-04-12,cshapes-2.0,835,1888,assigned,,BRN-1816-1888,
BSS-1884-1960,British Somaliland Protectorate (1884-1960),1884,1960,national,BSS,NA,Africa,draft,2026-06-24,cshapes-2.0,521,1886,assigned,,,SOM-1960-2025
BTN-1800-2025,Bhutan,1800,2025,national,BTN,NA,Asia,draft,2026-04-12,cshapes-2.0,760,1886,assigned,,,
