polity_name,start_year,end_year,area
Congo,1906,1912,345558.374026815
Congo,1912,1919,263731.543833966
Congo,1919,NA,345558.374026815
"Congo, Democratic Republic of (Zaire)",NA,1891,2020671.9010762
"Congo, Democratic Republic of (Zaire)",1891,1894,2231225.66492264
"Congo, Democratic Republic of (Zaire)",1894,1910,2391428.72732302
"Congo, Democratic Republic of (Zaire)",1910,NA,2336828.60448501
Costa Rica,NA,NA,51263.3416362547
Cote D'Ivoire,1889,1932,322671.943173249
Cote D'Ivoire,1932,1947,469371.454647895
Cote D'Ivoire,1947,NA,322671.943173249
Croatia,1992,NA,55709.3096961529
Cuba,NA,NA,109388.467441318
Cyprus,1914,NA,9128.95635410267
Czech Republic,1993,NA,78490.3435893634
Czechoslovakia,1918,1938,139946.249030099
Czechoslovakia,1938,1945,100498.024942224
Czechoslovakia,1945,1947,111519.533518387
Czechoslovakia,1947,1992,127266.727246091
Danzig,1919,1938,2028.95239796813
Denmark,NA,1920,38496.2718276968
Denmark,1920,NA,42428.4143409003
Djibouti,NA,NA,21517.3724379058
Dominican Republic,NA,NA,48462.7020623179
East Aden Protectorate,1937,1962,241634.078968419
East Timor,NA,NA,15086.8187059516
Ecuador,NA,1942,343298.738250458
Ecuador,1942,NA,256416.841107036
Egypt,NA,1899,1170013.26569549
Egypt,1899,1925,1520071.67947741
Egypt,1925,1967,1000195.72116416
Egypt,1967,1979,939556.743028683
Egypt,1979,NA,1000195.72116416
El Salvador,NA,NA,20632.5772143888
Equatorial Guinea,NA,NA,27041.3869968257
Eritrea,NA,1889,19101.5379241531
Eritrea,1889,NA,121325.291579504
Estonia,1918,1940,49033.5367633816
Estonia,1991,NA,45668.0856602338
Ethiopia,NA,1889,281318.590340969
Ethiopia,1889,1897,267127.06114935
Ethiopia,1897,1902,943105.275147825
Ethiopia,1902,1907,994942.024700361
Ethiopia,1907,1952,1132247.91748742
Ethiopia,1952,1993,1253573.20906701
Ethiopia,1993,NA,1132247.91748742
Federated Malay States,1896,1909,69024.0139730309
Federated Malay States,1909,1946,71730.8631611821
Federation of Rhodesia and Nyasaland,1953,1964,1264722.90418243
Federation of South Arabia,1962,1967,288221.744240046
Fiji,NA,NA,18090.4750954544
Finland,1917,1940,386285.966514341
Finland,1940,NA,333112.572555041
France,NA,1919,530949.11453872
France,1919,NA,546635.059129154
French Guyana,NA,1930,84081.1745598497
French Guyana,1930,1946,13125.2650886032
French Guyana,1946,NA,84081.1745598497
French Polynesia,1903,NA,12600.7575089003
French West Africa,1895,1898,5637210.51545358
French West Africa,1898,1902,5601250.15049097
French West Africa,1902,1904,3811566.77262916
Gabon,NA,1912,261849.484831891
Gabon,1912,1919,227649.236505905
Gabon,1919,NA,261849.484831891
Gambia,1889,NA,10762.4513592543
Gaza,1948,1967,373.710094279125
Georgia,1991,NA,69848.1578679754
German Democratic Republic,1945,1990,108829.094443954
German Federal Republic,1945,1990,246796.524280629
German Federal Republic,1990,NA,355625.61294616
German Solomon Islands,NA,1899,16748.0247921334
German Togoland,1887,1888,6847.69099699058
German Togoland,1888,1896,53567.637226526
German Togoland,1897,1919,84075.4610880263
German Togoland,1919,1922,26741.8869881067
Germany (Prussia),NA,1919,538094.010000548
Germany (Prussia),1919,1920,473012.477067268
Germany (Prussia),1920,1938,469080.334775468
Germany (Prussia),1938,1945,494810.302334121
Ghana,NA,1888,68621.9145590651
Ghana,1888,1898,128488.354809496
Ghana,1898,1956,213314.262160361
Ghana,1956,NA,240056.149148469
Greece,NA,1913,63710.8620547128
Greece,1913,1919,121598.785974799
Greece,1919,NA,129804.210742471
Guadeloupe,NA,NA,1657.50128375097
Guatemala,NA,NA,109412.828521409
