m49_name,m49_code,start_year,end_year,notes,is_old
Cocos (Keeling) Islands,166,NA,NA,Re-introduced from ISO-3166 numerical code list,FALSE
Colombia,170,NA,NA,Current ISO 3166-1 country,FALSE
Comoros,174,NA,NA,Current ISO 3166-1 country,FALSE
Mayotte,175,2002,NA,Issued a numerical code in 2002,FALSE
Congo,178,NA,NA,Current ISO 3166-1 country,FALSE
"Congo, Democratic Republic of the",180,NA,NA,Current ISO 3166-1 country,FALSE
Cook Islands,184,NA,NA,Current ISO 3166-1 country,FALSE
Costa Rica,188,NA,NA,Current ISO 3166-1 country,FALSE
Croatia,191,1992,NA,Formerly part of the Socialist Federal Republic of Yugoslavia (numerical code 890),FALSE
Cuba,192,NA,NA,Current ISO 3166-1 country,FALSE
Cyprus,196,NA,NA,Current ISO 3166-1 country,FALSE
Sub-Saharan Africa,202,2017,NA,M49 regional grouping only,FALSE
Czechia,203,1993,NA,Formerly part of Czechoslovakia (numerical code 200),FALSE
Benin,204,NA,NA,Current ISO 3166-1 country,FALSE
Denmark,208,NA,NA,Current ISO 3166-1 country,FALSE
Dominica,212,NA,NA,Current ISO 3166-1 country,FALSE
Dominican Republic,214,NA,NA,Current ISO 3166-1 country,FALSE
Ecuador,218,NA,NA,Current ISO 3166-1 country,FALSE
El Salvador,222,NA,NA,Current ISO 3166-1 country,FALSE
Equatorial Guinea,226,NA,NA,Current ISO 3166-1 country,FALSE
Ethiopia,231,1993,NA,Formerly part of Ethiopia (numerical code 230),FALSE
Eritrea,232,1993,NA,Formerly part of Ethiopia (numerical code 230),FALSE
Estonia,233,1991,NA,Formerly part of the Union of Soviet Socialist Republics (numerical code 810),FALSE
Faroe Islands,234,NA,NA,Current ISO 3166-1 country,FALSE
Falkland Islands (Malvinas),238,NA,NA,Current ISO 3166-1 country,FALSE
South Georgia and the South Sandwich Islands,239,NA,NA,Re-introduced from ISO-3166 numerical code list,FALSE
Fiji,242,NA,NA,Current ISO 3166-1 country,FALSE
Finland,246,NA,NA,Current ISO 3166-1 country,FALSE
Åland Islands,248,2003,NA,Issued a numerical code in 2003,FALSE
France,250,NA,NA,Current ISO 3166-1 country,FALSE
French Guiana,254,NA,NA,Current ISO 3166-1 country,FALSE
French Polynesia,258,NA,NA,Current ISO 3166-1 country,FALSE
French Southern and Antarctic Territories,260,NA,NA,Re-introduced from ISO-3166 numerical code list,FALSE
Djibouti,262,NA,NA,Current ISO 3166-1 country,FALSE
Gabon,266,NA,NA,Current ISO 3166-1 country,FALSE
Georgia,268,1991,NA,Formerly part of the Union of Soviet Socialist Republics (numerical code 810),FALSE
Gambia,270,NA,NA,Current ISO 3166-1 country,FALSE
"Palestine, State of",275,1999,NA,Issued a numerical code in 1999. Later renamed to State of Palestine,FALSE
Germany,276,1990,NA,Unified from Federal Republic of Germany and German Democratic Republic,FALSE
Ghana,288,NA,NA,Current ISO 3166-1 country,FALSE
Gibraltar,292,NA,NA,Current ISO 3166-1 country,FALSE
Kiribati,296,NA,NA,Current ISO 3166-1 country,FALSE
Greece,300,NA,NA,Current ISO 3166-1 country,FALSE
Greenland,304,NA,NA,Current ISO 3166-1 country,FALSE
Grenada,308,NA,NA,Current ISO 3166-1 country,FALSE
Guadeloupe,312,NA,NA,Current ISO 3166-1 country,FALSE
Guam,316,NA,NA,Current ISO 3166-1 country,FALSE
Guatemala,320,NA,NA,Current ISO 3166-1 country,FALSE
Guinea,324,NA,NA,Current ISO 3166-1 country,FALSE
Guyana,328,NA,NA,Current ISO 3166-1 country,FALSE
Haiti,332,NA,NA,Current ISO 3166-1 country,FALSE
Heard Island and McDonald Islands,334,NA,NA,Re-introduced from ISO-3166 numerical code list,FALSE
Holy See,336,NA,NA,Current ISO 3166-1 country,FALSE
