unit_kind,key,status,issue_id,evidence_hash,last_run,last_commit
polity,AUT-1800-1918,correct,,1353067df974a6c6,2026-06-29,
polity,AUT-1918-1919,correct,,9d881069056550e4,2026-06-29,
polity,AUT-1919-2025,correct,,d9a27f7cb2c5dec4,2026-06-29,
polity,BCM-1916-1961,correct,,8ce4c1f492547462,2026-06-29,
polity,BGR-1878-1913,correct,,28bfcd0d7844c7ad,2026-06-29,
polity,BGR-1913-1918,correct,,0826c5b8388c52c3,2026-06-29,
polity,BGR-1918-1919,correct,,9c9cec94b3e92cc3,2026-06-29,
polity,BGR-1919-1940,correct,,da761382da38e57a,2026-06-29,
polity,BGR-1940-2025,correct,,c5a052df02b3090b,2026-06-29,
polity,BOL-1909-1938,correct,,82e820b35c35fa47,2026-06-29,
polity,BOL-1938-2025,correct,,82e820b35c35fa47,2026-06-29,
polity,BTL-1920-1957,correct,,c3177d57644f6926,2026-06-29,
polity,CAN-1948-2025,correct,,804a7ec338558d10,2026-06-29,
polity,CHL-1810-1883,correct,,6c1c64f648f4b52f,2026-06-29,
polity,CHL-1884-1899,correct,,e4c5a786bcc3fc0c,2026-06-29,
polity,CHL-1899-1902,correct,,a49f6d21087140a6,2026-06-29,
polity,CHL-1902-2025,correct,,48a7ed69111ccf1d,2026-06-29,
polity,CHN-1913-1914,correct,,019fab7a5f617201,2026-06-29,
polity,CHN-1945-1947,correct,,c7103a7a4692dc6e,2026-06-29,
polity,CHN-1947-1949,correct,,895d94b3c9b2439b,2026-06-29,
polity,CHN-1950-2025,correct,,6fcc791a2a2bdb73,2026-06-29,
polity,CIV-1902-1932,correct,,2453510dda002a6f,2026-06-29,
polity,CIV-1932-1947,correct,,5fc649c8a285b5bc,2026-06-29,
polity,CIV-1947-1960,correct,,4136f6b0dd796ba8,2026-06-29,
polity,CMR-1960-1961,correct,,ce08045319b68ebe,2026-06-29,
polity,COD-1894-1910,correct,,03d0da7e5fc03c03,2026-06-29,
polity,COG-1912-1919,correct,,4e0a5e10c4c9b321,2026-06-29,
polity,COG-1919-1960,correct,,4e0a5e10c4c9b321,2026-06-29,
polity,COL-1903-1922,correct,,cad2c513758d566b,2026-06-29,
polity,COL-1922-2025,correct,,42002def6365fd55,2026-06-29,
polity,CYR-1949-1951,correct,,ed59d0bd9e1ff5e1,2026-06-29,
polity,CZE-1804-1918,correct,,,2026-06-29,
polity,CZN-1903-1979,correct,,,2026-06-29,
polity,DEU-1800-1866,correct,,da64193ffa541d2e,2026-06-29,
polity,DEU-1871-1919,correct,,26a5da81e0d130ca,2026-06-29,
polity,DEU-1919-1920,correct,,006933fbc6264e75,2026-06-29,
polity,DEU-1920-1938,correct,,fec268c45169ae97,2026-06-29,
polity,DEU-1945-1949,correct,,a934534664509a18,2026-06-29,
match,Western Australia (to 1900),fixed,,,2026-06-29,
match,Canada (pre-Confederation),fixed,,,2026-06-29,
match,Canada (to 1948),fixed,,,2026-06-29,
match,China (1895-1913),fixed,,,2026-06-29,
match,China (1921-1945),fixed,,,2026-06-29,
match,goats/mitchell,fixed,,,2026-06-29,
match,Colombia (to 1903),fixed,,,2026-06-29,
match,Czechoslovakia (1947-1992),fixed,,,2026-06-29,
polity,CAN-1886-1948,correct,,9c15149f3af8019e,2026-06-29,
polity,CHN-1895-1913,correct,,7a07dd6f09aeb841,2026-06-29,
polity,CHN-1921-1932,correct,,38cc89e5ebf15acf,2026-06-29,
polity,COL-1830-1903,correct,,a2929bf732c29852,2026-06-29,
polity,DEU-1949-1990,correct,,cd4d6d5fe494e45d,2026-06-29,
polity,DNK-1800-1864,correct,,734d222b77c1769d,2026-06-29,
polity,DNK-1864-1920,correct,,971aaa89e2379b7b,2026-06-29,
