polity_code,start_year,end_year,cow_code,polity_type,our_source,our_km2,border_verdict,n_reference_borders,reference_covers,reference_bookkeeping_steps,reference_km2_at_start,reference_km2_at_end,max_step_ratio,change_years,reference_iou,source_gap_pct
MEX-COAH-1824-2025,1824,2025,,subnational,gadm-4.1-adm1,151537,no_reference,0,,0,,,,,,
MEX-COL-1857-2025,1857,2025,,subnational,gadm-4.1-adm1,5740,no_reference,0,,0,,,,,,
MEX-DGO-1824-2025,1824,2025,,subnational,gadm-4.1-adm1,123341,no_reference,0,,0,,,,,,
MEX-GUANAJUATO-1824-2025,1824,2025,,subnational,gadm-4.1-adm1,30611,no_reference,0,,0,,,,,,
MEX-GUE-1849-2025,1849,2025,,subnational,gadm-4.1-adm1,63667,no_reference,0,,0,,,,,,
MEX-HIDALGO-1869-2025,1869,2025,,subnational,gadm-4.1-adm1,20800,no_reference,0,,0,,,,,,
MEX-JALISCO-1824-2025,1824,2025,,subnational,gadm-4.1-adm1,78607,no_reference,0,,0,,,,,,
MEX-MEX-1824-2025,1824,2025,,subnational,gadm-4.1-adm1,22337,no_reference,0,,0,,,,,,
MEX-MICHOACAN-1824-2025,1824,2025,,subnational,gadm-4.1-adm1,58582,no_reference,0,,0,,,,,,
MEX-MOR-1869-2025,1869,2025,,subnational,gadm-4.1-adm1,4872,no_reference,0,,0,,,,,,
MEX-NAYARIT-1917-2025,1917,2025,,subnational,gadm-4.1-adm1,28097,no_reference,0,,0,,,,,,
MEX-NL-1824-2025,1824,2025,,subnational,gadm-4.1-adm1,64172,no_reference,0,,0,,,,,,
MEX-OAXACA-1824-2025,1824,2025,,subnational,gadm-4.1-adm1,92748,no_reference,0,,0,,,,,,
MEX-PUE-1824-2025,1824,2025,,subnational,gadm-4.1-adm1,34341,no_reference,0,,0,,,,,,
MEX-QROO-1902-2025,1902,2025,,subnational,gadm-4.1-adm1,43300,no_reference,0,,0,,,,,,
MEX-QUERETARO-1824-2025,1824,2025,,subnational,gadm-4.1-adm1,11693,no_reference,0,,0,,,,,,
MEX-SANLUISPOTOSI-1824-2025,1824,2025,,subnational,gadm-4.1-adm1,61143,no_reference,0,,0,,,,,,
MEX-SIN-1830-2025,1830,2025,,subnational,gadm-4.1-adm1,55593,no_reference,0,,0,,,,,,
MEX-SON-1830-2025,1830,2025,,subnational,gadm-4.1-adm1,180043,no_reference,0,,0,,,,,,
MEX-TABASCO-1824-2025,1824,2025,,subnational,gadm-4.1-adm1,24529,no_reference,0,,0,,,,,,
MEX-TAMAULIPAS-1824-2025,1824,2025,,subnational,gadm-4.1-adm1,78052,no_reference,0,,0,,,,,,
MEX-TLAX-1857-2025,1857,2025,,subnational,gadm-4.1-adm1,3987,no_reference,0,,0,,,,,,
MEX-VERACRUZ-1824-2025,1824,2025,,subnational,gadm-4.1-adm1,70976,no_reference,0,,0,,,,,,
MEX-YUC-1824-2025,1824,2025,,subnational,gadm-4.1-adm1,39449,no_reference,0,,0,,,,,,
MEX-ZAC-1824-2025,1824,2025,,subnational,gadm-4.1-adm1,75326,no_reference,0,,0,,,,,,
MHL-1874-2025,1874,2025,983,national,gadm-4.1-adm0,300,no_reference,0,,0,,,,,,
MKD-1991-2025,1991,2025,343,national,cshapes-2.0,25430,stable_where_covered,1,1991-2019,0,25461,25461,,,0.996,-0.12
