ratio,item,unit,whep_code,polity_name,source,median_value,area,n,item_median_intensity,assertion_keys,known_flow,flow_origin_iso3
178.50358432152424,bananas,1000 tonnes,ASM-1900-2025,Territory of American Samoa,fao1952,20.0,203.69130519542574,3,0.0005500606320865948,american samoa|fao1952|1937-1951,,
177.7843918707084,"coffee, green",tonnes,PRI-1800-2025,Puerto Rico,mitchell,23000.0,8972.444342985882,1,0.014418611242477926,puerto rico|mitchell|1850-1960,,
176.62996099548454,other meat,1000 tonnes,SGP-1946-1963,Singapore (Crown Colony),fao1952,1.5,544.5782406954,4,1.5594325731753717e-05,singapore|fao1952|1948-1951,,
175.6176121604523,rice paddy,1000 tonnes,FRIN-1816-1954,French India (Établissements français dans l'Inde),fao1952,36.0,546.7035111937369,1,0.0003749579531697933,french india|fao1952|1937-1951,,
174.53202272975355,"rubber, natural",tonnes,LKA-1800-2025,Sri Lanka,mitchell,60000.0,65954.96220180139,55,0.005212290981469361,sri lanka|mitchell|1850-1960,,
173.4672509394538,sugar cane,ha,PRI-1800-2025,Puerto Rico,juan,120500.0,8972.444342985882,50,0.07742100024431484,puerto rico|juan|1900-1960,,
172.50600099247998,tomatoes,ha,MLT-1800-2025,Malta,juan,1000.0,291.8686793911891,5,0.019861328720566368,malta|juan|1909-1959,,
172.1951402809787,sugar cane,ha,GLP-1816-2025,Guadeloupe,mitchell,22000.0,1650.2244307993958,65,0.07742100024431484,guadeloupe|mitchell|1850-1960,,
172.17944284578087,centrifugal sugar noncentrifugal cane sugar,1000 tonnes,VGB-1800-2025,British Virgin Islands,fao1952,8.5,167.94484605932638,4,0.0002939482959867938,virgin islands|fao1952|1949-1951; british west indies virgin islands|fao1952|1950-1951,,
168.2700526015954,"tobacco, unmanufactured",tonnes,CHN-1932-1945,China (1932-1945),iia,57749050.0,6710151.482952717,2,0.051145295153688305,china mainland|iia|1932-1944,,
167.84277665595752,goats,heads,CHN-1950-2025,China (PRC),mitchell,3404401000.0,9369119.896358289,11,2.164907062620966,china mainland|mitchell|1950-1960; china manchuria province of|mitchell|1950-1952,,
165.87819613081183,tea,tonnes,LKA-1800-2025,Sri Lanka,iia,110776.0,65954.96220180139,5,0.010125323310140025,sri lanka|iia|1909-1945,,
165.82036496782345,commercial potash fertilizers,1000 tonnes,F77-1949-1990,East Germany,fao1952,774.0,109271.16029246466,6,4.271668472078077e-05,germany eastern|fao1952|1949-1951,,
161.82174344125235,cotton lint,tonnes,MSR-1800-2025,Montserrat,iia,200.0,101.08444734488369,37,0.01222668655598026,montserrat|iia|1909-1945,,
160.07316545518793,r_fao_population_1952_10_18,1000 people,SGP-1946-1963,Singapore (Crown Colony),fao1952,1045.0,544.5782406954,1,0.011987744350629912,singapore|fao1952|1948-1951,,
157.7864325565917,commercial potash fertilizers,1000 tonnes,SBZ-1938-1949,Eastern Germany / Soviet Occupation Zone,fao1952,736.5,109271.16029246466,2,4.271668472078077e-05,germany eastern|fao1952|1938-1948,,
154.14249248403078,cotton lint,ha,MSR-1800-2025,Montserrat,iia,1055.0,101.08444734488369,37,0.06770889735806021,montserrat|iia|1909-1945,,
153.82057700920566,pesticides arsenicals,tonnes,SAA-1947-1957,Saar Protectorate,fao1952,70.0,2565.2203150015116,3,0.00017740217220788145,france saar|fao1952|1948-1951; saar|fao1952|1949-1951,,
152.58552407681503,soybeans,ha,KOR-1800-1945,Korea (to 1945),iia,786278.5,219371.89647949164,12,0.023489949172274996,south korea|iia|1909-1944,,
152.41274633958878,"coffee, green",tonnes,SLV-1821-2025,El Salvador,iia,45178.1,20558.112635569574,6,0.014418611242477926,el salvador|iia|1910-1944,,
151.6286720132385,crawler tractors agriculture,number,BRB-1800-2025,Barbados,fao1952,66.5,434.58445270912586,2,0.001009174175679762,british west indies barbados|fao1952|1935-1951; br west indies barbados|fao1952|1950-1951,,
150.3334034440881,pesticides benzene hexachloride,tonnes,MLT-1800-2025,Malta,fao1952,8.5,291.8686793911891,2,0.0001937206613078392,malta|fao1952|1939-1951,,
149.01090478596126,sugar cane,ha,MTQ-1816-2025,Martinique,mitchell,13000.0,1126.8510732461853,15,0.07742100024431484,martinique|mitchell|1850-1960,,
148.17413012478357,"coffee, green",ha,PRI-1800-2025,Puerto Rico,juan,64456.5,8972.444342985882,30,0.04848233858028317,puerto rico|juan|1900-1960,,
148.16262252107336,pesticides sulphur dust,tonnes,FRA-1919-2025,France,fao1952,48700.0,548057.8009401887,3,0.000599741278161007,france|fao1952|1937-1951,,
146.4686917961047,"tobacco, unmanufactured",tonnes,REU-1816-1946,Réunion (French Colony),iia,19650.0,2623.08318152435,14,0.051145295153688305,reunion|iia|1909-1945,,
145.6664415510831,rice paddy,1000 hectares,FRIN-1816-1954,French India (Établissements français dans l'Inde),fao1952,19.0,546.7035111937369,1,0.0002385845005827523,french india|fao1952|1937-1951,,
144.30589766733075,centrifugal sugar noncentrifugal cane sugar,1000 tonnes,GLP-1816-2025,Guadeloupe,fao1952,70.0,1650.2244307993958,4,0.0002939482959867938,guadeloupe|fao1952|1937-1951,,
144.20223607636433,figs,tonnes,MLT-1800-2025,Malta,juan,2000.0,291.8686793911891,6,0.04751935178269498,malta|juan|1909-1959,,
142.86127129114013,grapefruits,1000 tonnes,TTO-1800-2025,Trinidad and Tobago,fao1952,12.0,4952.729517430746,3,1.6959854612560134e-05,british west indies trinidad and tobago|fao1952|1937-1951; british west indies trinidad tobago|fao1952|1949-1951; leeward islands trinidad and tobago|fao1952|1951-1951,,
142.82929761252564,"tobacco, unmanufactured",tonnes,MMR-1885-2025,Myanmar,iia,4938000.0,675971.0487679241,3,0.051145295153688305,myanmar|iia|1933-1945,,
141.9566714888877,jute,tonnes,IND-1893-1914,India (1893-1914),iia,1511070.85,4815027.6418610485,6,0.0022107021587438724,india|iia|1909-1913,,
141.16267377425032,commercial nitrogenous fertilizers,1000 tonnes,NLD-1830-2025,Netherlands,fao1952,151.6,38295.46118907003,8,2.8043487484389995e-05,netherlands|fao1952|1937-1951; necherlands|fao1952|1949-1951,,
140.06858639683082,centrifugal sugar noncentrifugal cane sugar,1000 tonnes,REU-1946-2025,Réunion (French Overseas Department),fao1952,108.0,2623.08318152435,3,0.0002939482959867938,reunion|fao1952|1949-1951,,
139.6043907313666,"tobacco, unmanufactured",tonnes,F51-1938-1945,Czechoslovakia (1938-1945),iia,719100.0,100712.76559040853,6,0.051145295153688305,czech republic|iia|1938-1944,,
139.2600584979192,tea,tonnes,LKA-1800-2025,Sri Lanka,mitchell,93000.0,65954.96220180139,75,0.010125323310140025,sri lanka|mitchell|1850-1960,,
