verify_order,key,label,source,candidate,status,route,rows,years_observed,n_distinct_years,candidate_period,polity_type,wiki_status,polygon_status,verified_equal_reachable,nested_reporting,inclusion_impossible,boundary_year,alias_precedent_confidence,banked_precedent,tier
1,japan|mitchell|1895-1944,japan,mitchell,JPN-1895-1945,reopened,iso,1112,1895-1944,50,1895-1945,national,draft,assigned,False,True,True,False,,True,territory_basis_wrong
2,south korea|iia|1909-1944,south korea,iia,KOR-1800-1945,pending,iso,427,1909-1944,33,1800-1945,national,draft,assigned,False,True,True,False,,False,territory_basis_wrong
3,china taiwan province of|iia|1909-1944,"china, taiwan province of",iia,TWN-1895-1945,pending,applied_alias,340,1909-1944,33,1895-1945,colonial,draft,assigned,False,True,True,False,high,True,territory_basis_wrong
4,mali|mitchell|1920-1959,mali,mitchell,MLI-1890-1960,pending,iso,301,1920-1959,39,1890-1960,national,draft,assigned,False,True,True,False,,False,territory_basis_wrong
5,india|iia|1914-1936,india,iia,IND-1914-1937,pending,iso,277,1914-1936,20,1914-1937,national,draft,assigned,False,True,True,False,,False,territory_basis_wrong
6,indochina viet nam|fao1952|1937-1951,Indochina Viet Nam,fao1952,FID-1887-1954,pending,applied_alias,113,1937-1951,5,1887-1954,national,draft,assigned,False,True,True,False,medium,False,territory_basis_wrong
7,ivory coast|iia|1932-1945,ivory coast,iia,CIV-1932-1947,pending,iso,106,1932-1945,13,1932-1947,national,draft,assigned,False,True,True,False,,False,territory_basis_wrong
8,indochina cambodia|fao1952|1937-1951,Indochina Cambodia,fao1952,KHM-1907-1953,pending,applied_alias,105,1937-1951,5,1907-1953,national,draft,assigned,False,True,True,False,medium,False,territory_basis_wrong
9,burkina faso|iia|1922-1932,burkina faso,iia,BFA-1919-1932,pending,applied_alias,67,1922-1932,8,1919-1932,national,draft,assigned,False,True,True,True,high,False,territory_basis_wrong
10,mali|iia|1913-1938,mali,iia,MLI-1890-1960,pending,iso,66,1913-1938,15,1890-1960,national,draft,assigned,False,True,True,False,,False,territory_basis_wrong
11,japan|fao1952|1936-1938,Japan,fao1952,JPN-1895-1945,pending,applied_alias,57,1936-1938,3,1895-1945,national,draft,assigned,False,True,True,False,high,False,territory_basis_wrong
12,india|fao1952|1937-1940,India,fao1952,IND-1937-1947,pending,name,44,1937-1940,3,1937-1947,national,draft,assigned,False,True,True,False,,False,territory_basis_wrong
13,burkina faso|mitchell|1948-1959,burkina faso,mitchell,BFA-1947-1960,pending,iso,40,1948-1959,10,1947-1960,national,draft,assigned,False,True,True,False,,False,territory_basis_wrong
14,germany|fao1952|1938-1938,Germany,fao1952,DEU-1938-1945,pending,name,38,1938-1938,1,1938-1945,national,draft,assigned,False,True,True,False,,False,territory_basis_wrong
15,germany eastern|fao1952|1938-1948,Germany Eastern,fao1952,SBZ-1938-1949,pending,applied_alias,36,1938-1948,3,1938-1949,national,draft,assigned,False,True,True,False,high,False,territory_basis_wrong
16,korea|fao1952|1937-1938,Korea,fao1952,KOR-1800-1945,pending,name,33,1937-1938,2,1800-1945,national,draft,assigned,False,True,True,False,,False,territory_basis_wrong
17,pakistan|fao1952|1937-1940,Pakistan,fao1952,PAK-1937-1947,pending,applied_alias+name,22,1937-1940,3,1937-1947,national,draft,assigned,False,True,True,False,,False,territory_basis_wrong
18,india|mitchell|1914-1936,india,mitchell,IND-1914-1937,pending,iso,595,1914-1936,23,1914-1937,national,draft,assigned,False,True,False,False,,False,nested_reporting
19,russian federation|iia|1922-1939,russian federation,iia,F228-1921-1940,pending,applied_alias,422,1922-1939,15,1921-1940,national,draft,assigned,False,True,False,False,high,False,nested_reporting
20,india|mitchell|1893-1913,india,mitchell,IND-1893-1914,pending,iso,372,1893-1913,21,1893-1914,national,draft,assigned,False,True,False,False,,False,nested_reporting
21,china mainland|mitchell|1950-1960,"china, mainland",mitchell,CHN-1950-2025,pending,applied_alias,305,1950-1960,11,1950-2025,national,draft,assigned,False,True,False,False,high,False,nested_reporting
22,china taiwan province of|mitchell|1945-1960,"china, taiwan province of",mitchell,TWN-1945-2025,pending,iso,290,1945-1960,16,1945-2025,national,draft,assigned,False,True,False,False,,False,nested_reporting
23,japan|fao1952|1947-1951,Japan,fao1952,JPN-1945-1952,pending,applied_alias,283,1947-1951,5,1945-1952,national,draft,assigned,False,True,False,False,high,False,nested_reporting
24,cyprus|mitchell|1897-1960,cyprus,mitchell,CYP-1879-2025,pending,iso,269,1897-1960,55,1879-2025,national,draft,assigned,False,True,False,False,,True,nested_reporting
25,pakistan|mitchell|1949-1960,pakistan,mitchell,PAK-1949-1971,pending,iso,244,1949-1960,12,1949-1971,national,draft,assigned,False,True,False,False,,False,nested_reporting
26,india|mitchell|1937-1946,india,mitchell,IND-1937-1947,pending,iso,207,1937-1946,10,1937-1947,national,draft,assigned,False,True,False,False,,False,nested_reporting
27,syria|fao1952|1949-1951,Syria,fao1952,SYR-1946-1967,pending,applied_alias,162,1949-1951,3,1946-1967,national,draft,assigned,False,True,False,False,high,False,nested_reporting
28,india|fao1952|1949-1951,India,fao1952,IND-1949-2025,pending,name,161,1949-1951,3,1949-2025,national,draft,assigned,False,True,False,False,,False,nested_reporting
29,south korea|mitchell|1948-1960,south korea,mitchell,KOR-1948-2025,pending,iso,148,1948-1960,13,1948-2025,national,draft,assigned,False,True,False,False,,False,nested_reporting
30,russian federation|iia|1909-1913,russian federation,iia,F228-1905-1914,pending,applied_alias,128,1909-1913,5,1905-1914,national,draft,assigned,False,True,False,False,high,False,nested_reporting
31,lebanon|fao1952|1949-1951,Lebanon,fao1952,LBN-1944-2025,pending,name,121,1949-1951,3,1944-2025,national,draft,assigned,False,True,False,False,,False,nested_reporting
32,indonesia|fao1952|1949-1951,Indonesia,fao1952,IDN-1949-1963,pending,name,114,1949-1951,3,1949-1963,national,draft,assigned,False,True,False,False,,False,nested_reporting
33,british west indies jamaica|fao1952|1938-1951,British West Indies Jamaica,fao1952,JAM-1800-2025,pending,applied_alias,112,1938-1951,6,1800-2025,national,draft,assigned,False,True,False,False,medium,False,nested_reporting
34,israel|mitchell|1948-1960,israel,mitchell,ISR-1948-1967,pending,applied_alias,103,1948-1960,13,1948-1967,national,draft,assigned,False,True,False,False,medium,False,nested_reporting
35,viet nam|mitchell|1938-1953,viet nam,mitchell,VNM-1887-1954,pending,applied_alias,83,1938-1953,14,1887-1954,national,draft,assigned,False,True,False,False,high,False,nested_reporting
36,austria|iia|1909-1917,austria,iia,AUT-1800-1918,pending,iso,77,1909-1917,9,1800-1918,national,draft,assigned,False,True,False,False,,True,nested_reporting
37,germany eastern|fao1952|1949-1951,Germany Eastern,fao1952,F77-1949-1990,pending,applied_alias,76,1949-1951,3,1949-1990,national,draft,assigned,False,True,False,False,medium,False,nested_reporting
38,germany|fao1952|1949-1951,Germany,fao1952,DEU-1949-1990,pending,name,75,1949-1951,3,1949-1990,national,draft,assigned,False,True,False,False,,False,nested_reporting
39,malaya federation of|fao1952|1948-1951,Malaya Federation of,fao1952,MYS-1946-1957,pending,applied_alias,69,1948-1951,4,1946-1957,national,draft,assigned,False,True,False,False,high,False,nested_reporting
40,hong kong|fao1952|1937-1951,Hong Kong,fao1952,HKG-1842-2025,pending,name,56,1937-1951,5,1842-2025,national,draft,assigned,False,True,False,False,,False,nested_reporting
41,china mainland|iia|1922-1931,"china, mainland",iia,CHN-1921-1932,pending,applied_alias,54,1922-1931,7,1921-1932,national,draft,assigned,False,True,False,False,high,False,nested_reporting
42,singapore|fao1952|1948-1951,Singapore,fao1952,SGP-1946-1963,pending,name,54,1948-1951,4,1946-1963,colonial,draft,assigned,False,True,False,False,,False,nested_reporting
43,korea|mitchell|1945-1948,korea,mitchell,KOR-1945-1948,pending,name,46,1945-1948,4,1945-1948,national,draft,assigned,False,True,False,True,,False,nested_reporting
44,china mainland|mitchell|1947-1948,"china, mainland",mitchell,CHN-1947-1949,pending,applied_alias,45,1947-1948,2,1947-1949,national,draft,assigned,False,True,False,False,high,False,nested_reporting
45,united kingdom|iia|1909-1920,united kingdom,iia,GBR-1800-1921,pending,iso,42,1909-1920,12,1800-1921,national,draft,assigned,False,True,False,False,,True,nested_reporting
46,china mainland|mitchell|1945-1946,"china, mainland",mitchell,CHN-1945-1947,pending,applied_alias,36,1945-1946,2,1945-1947,national,draft,assigned,False,True,False,False,high,False,nested_reporting
47,india|mitchell|1886-1892,india,mitchell,IND-1886-1893,pending,iso,35,1886-1892,7,1886-1893,national,draft,assigned,False,True,False,False,,False,nested_reporting
48,china mainland|mitchell|1949-1949,"china, mainland",mitchell,CHN-1949-1950,pending,applied_alias,30,1949-1949,1,1949-1950,national,draft,assigned,False,True,False,False,high,False,nested_reporting
49,somalia|mitchell|1920-1959,somalia,mitchell,ITS-1908-1960,pending,applied_alias,30,1920-1959,11,1908-1960,national,draft,assigned,False,True,False,False,high,False,nested_reporting
50,indonesia java and madura|fao1952|1949-1951,Indonesia Java and Madura,fao1952,IDN-JVM-1949-1951,pending,applied_alias,27,1949-1951,3,1949-1951,subnational,draft,proxy,False,True,False,True,high,False,nested_reporting
51,cambodia|mitchell|1948-1952,cambodia,mitchell,KHM-1907-1953,pending,iso,26,1948-1952,5,1907-1953,national,draft,assigned,False,True,False,False,,False,nested_reporting
52,indonesia bali and lombok|fao1952|1949-1951,Indonesia Bali and Lombok,fao1952,IDN-BLB-1949-1951,reopened,applied_alias,24,1949-1951,3,1949-1951,subnational,draft,proxy,False,True,False,True,high,False,nested_reporting
53,israel palestine|mitchell|1925-1948,israel/palestine,mitchell,PAL-1920-1948,pending,applied_alias,24,1925-1948,24,1920-1948,national,draft,assigned,False,True,False,True,high,False,nested_reporting
54,indochina|fao1952|1937-1951,Indochina,fao1952,FID-1887-1954,pending,applied_alias,22,1937-1951,5,1887-1954,national,draft,assigned,False,True,False,False,,False,nested_reporting
55,jamaica|fao1952|1938-1951,Jamaica,fao1952,JAM-1800-2025,pending,name,22,1938-1951,4,1800-2025,national,draft,assigned,False,True,False,False,,False,nested_reporting
56,malaya fed of|fao1952|1949-1951,Malaya Fed of,fao1952,MYS-1946-1957,pending,applied_alias,22,1949-1951,3,1946-1957,national,draft,assigned,False,True,False,False,high,False,nested_reporting
57,russian federation|iia|1940-1944,russian federation,iia,F228-1940-1945,pending,applied_alias,22,1940-1944,5,1940-1945,national,draft,assigned,False,True,False,False,high,False,nested_reporting
58,viet nam|fao1952|1938-1951,Viet Nam,fao1952,VNM-1887-1954,pending,applied_alias,20,1938-1951,4,1887-1954,national,draft,assigned,False,True,False,False,high,False,nested_reporting
59,lao|mitchell|1948-1953,lao,mitchell,LAO-1893-1954,pending,iso,18,1948-1953,6,1893-1954,national,draft,assigned,False,True,False,False,,False,nested_reporting
60,libya|fao1952|1949-1949,Libya,fao1952,LBY-1943-1949,pending,applied_alias,15,1949-1949,1,1943-1949,national,draft,assigned,False,True,False,True,high,False,nested_reporting
61,china|fao1952|1950-1951,China,fao1952,CHN-1950-2025,pending,name,14,1950-1951,2,1950-2025,national,draft,assigned,False,True,False,False,,False,nested_reporting
62,french india|fao1952|1937-1951,French India,fao1952,FRIN-1816-1954,pending,name,14,1937-1951,4,1816-1954,colonial,draft,estimate,False,True,False,False,,False,nested_reporting
63,saar|fao1952|1949-1951,Saar,fao1952,SAA-1947-1957,pending,applied_alias,14,1949-1951,3,1947-1957,national,draft,assigned,False,True,False,False,high,False,nested_reporting
64,china manchuria province of|mitchell|1950-1952,"china, manchuria province of",mitchell,CHN-1950-2025,pending,applied_alias,13,1950-1952,3,1950-2025,national,draft,assigned,False,True,False,False,medium,False,nested_reporting
65,libya|fao1952|1950-1950,Libya,fao1952,LBY-1949-1951,pending,applied_alias,13,1950-1950,1,1949-1951,national,draft,assigned,False,True,False,False,high,False,nested_reporting
66,south korea|mitchell|1932-1944,south korea,mitchell,KOR-1800-1945,pending,iso,13,1932-1944,13,1800-1945,national,draft,assigned,False,True,False,False,,False,nested_reporting
67,br west indies st kitts nevis anguilla|fao1952|1949-1951,Br West Indies St Kitts-Nevis Anguilla,fao1952,KNA-1800-2025,pending,applied_alias,12,1949-1951,3,1800-2025,national,draft,assigned,False,True,False,False,high,False,nested_reporting
68,br west indies st vincent|fao1952|1949-1951,Br West Indies St Vincent,fao1952,VCT-1833-2025,pending,applied_alias,12,1949-1951,3,1833-2025,national,draft,assigned,False,True,False,False,high,False,nested_reporting
69,china hong kong sar|mitchell|1948-1960,"china, hong kong sar",mitchell,HKG-1842-2025,pending,iso,12,1948-1960,12,1842-2025,national,draft,assigned,False,True,False,False,,False,nested_reporting
70,laos|fao1952|1949-1951,Laos,fao1952,LAO-1893-1954,pending,name,12,1949-1951,3,1893-1954,national,draft,assigned,False,True,False,False,,False,nested_reporting
71,libya|fao1952|1951-1951,Libya,fao1952,LBY-1951-2025,pending,applied_alias,12,1951-1951,1,1951-2025,national,reviewed,assigned,True,True,False,False,high,False,nested_reporting
72,libya cyrenaica|fao1952|1949-1951,Libya: Cyrenaica,fao1952,CYR-1949-1951,pending,applied_alias,11,1949-1951,3,1949-1951,national,draft,proxy,False,True,False,True,,False,nested_reporting
73,british west indies st lucia|fao1952|1938-1951,British West Indies St Lucia,fao1952,LCA-1838-2025,pending,applied_alias,10,1938-1951,5,1838-2025,national,draft,assigned,False,True,False,False,high,False,nested_reporting
74,british west indies trinidad tobago|fao1952|1938-1951,British West Indies Trinidad & Tobago,fao1952,TTO-1800-2025,pending,applied_alias,10,1938-1951,4,1800-2025,national,draft,assigned,False,True,False,False,high,False,nested_reporting
75,china mainland|iia|1945-1945,"china, mainland",iia,CHN-1945-1947,pending,applied_alias,10,1945-1945,1,1945-1947,national,draft,assigned,False,True,False,False,high,False,nested_reporting
76,ethiopia|mitchell|1936-1940,ethiopia,mitchell,AOI-1936-1941,pending,applied_alias,10,1936-1940,5,1936-1941,aggregate,draft,assigned,False,True,False,False,high,False,nested_reporting
77,federation of malaya|fao1952|1949-1951,Federation of Malaya,fao1952,MYS-1946-1957,pending,applied_alias,10,1949-1951,3,1946-1957,national,draft,assigned,False,True,False,False,high,False,nested_reporting
78,british west indies bahamas|fao1952|1939-1949,British West Indies Bahamas,fao1952,BHS-1800-2025,pending,applied_alias,9,1939-1949,4,1800-2025,national,draft,proxy,False,True,False,False,high,False,nested_reporting
79,pakistan|mitchell|1945-1946,pakistan,mitchell,PAK-1937-1947,pending,iso,9,1945-1946,2,1937-1947,national,draft,assigned,False,True,False,False,,False,nested_reporting
80,bangladesh|mitchell|1953-1960,bangladesh,mitchell,BGD-1947-1971,pending,iso,8,1953-1960,8,1947-1971,national,draft,assigned,False,True,False,False,,False,nested_reporting
81,china and manchuria|fao1952|1950-1951,China and Manchuria,fao1952,CHN-1950-2025,pending,applied_alias,8,1950-1951,2,1950-2025,national,draft,assigned,False,True,False,False,high,False,nested_reporting
82,british w indies jamaica|fao1952|1938-1951,British W Indies Jamaica,fao1952,JAM-1800-2025,pending,applied_alias,7,1938-1951,4,1800-2025,national,draft,assigned,False,True,False,False,high,False,nested_reporting
83,british west indies windward islands|fao1952|1937-1951,British West Indies Windward Islands,fao1952,WIN-1833-1960,pending,applied_alias,7,1937-1951,4,1833-1960,colonial,draft,proxy,False,True,False,False,high,False,nested_reporting
84,china|fao1952|1947-1948,China,fao1952,CHN-1947-1949,pending,name,7,1947-1948,2,1947-1949,national,draft,assigned,False,True,False,False,,False,nested_reporting
85,china|fao1952|1949-1949,China,fao1952,CHN-1949-1950,pending,name,7,1949-1949,1,1949-1950,national,draft,assigned,False,True,False,False,,False,nested_reporting
86,china manchuria province of|mitchell|1945-1948,"china, manchuria province of",mitchell,MAN-1945-1950,pending,applied_alias,7,1945-1948,4,1945-1950,subnational,draft,assigned,False,True,False,False,high,False,nested_reporting
87,latvia|iia|1940-1945,latvia,iia,LVA-1940-1991,pending,iso,7,1940-1945,6,1940-1991,national,draft,assigned,False,True,False,False,,False,nested_reporting
88,windward islands grenada|fao1952|1950-1950,Windward Islands  Grenada,fao1952,GRD-1800-2025,pending,applied_alias,7,1950-1950,1,1800-2025,national,draft,proxy,False,True,False,False,high,False,nested_reporting
89,windward islands st lucia|fao1952|1950-1950,Windward Islands  St Lucia,fao1952,LCA-1838-2025,pending,applied_alias,7,1950-1950,1,1838-2025,national,draft,assigned,False,True,False,False,high,False,nested_reporting
90,br west indies montserrat|fao1952|1949-1950,Br West Indies Montserrat,fao1952,MSR-1800-2025,pending,applied_alias,6,1949-1950,2,1800-2025,national,draft,assigned,False,True,False,False,high,False,nested_reporting
91,estonia|iia|1913-1913,estonia,iia,EST-1800-1918,pending,iso,6,1913-1913,1,1800-1918,national,draft,assigned,False,True,False,False,,False,nested_reporting
92,finland|iia|1913-1913,finland,iia,FIN-1809-1917,pending,iso,6,1913-1913,1,1809-1917,national,draft,assigned,False,True,False,False,,False,nested_reporting
93,latvia|iia|1913-1913,latvia,iia,LVA-1800-1918,pending,iso,6,1913-1913,1,1800-1918,national,draft,assigned,False,True,False,False,,False,nested_reporting
94,leeward islands|fao1952|1950-1951,Leeward Islands,fao1952,BLI-1833-1960,pending,applied_alias,6,1950-1951,2,1833-1960,colonial,draft,proxy,False,True,False,False,high,False,nested_reporting
95,leeward islands trinidad and tobago|fao1952|1951-1951,Leeward Islands  Trinidad and Tobago,fao1952,TTO-1800-2025,pending,applied_alias,6,1951-1951,1,1800-2025,national,draft,assigned,False,True,False,False,high,False,nested_reporting
96,lithuania|iia|1913-1913,lithuania,iia,LTU-1800-1918,pending,iso,6,1913-1913,1,1800-1918,national,draft,assigned,False,True,False,False,,False,nested_reporting
97,lithuania|iia|1940-1945,lithuania,iia,LTU-1940-1991,pending,iso,6,1940-1945,6,1940-1991,national,draft,assigned,False,True,False,False,,False,nested_reporting
98,syria and lebanon|fao1952|1949-1951,Syria and Lebanon,fao1952,SYL-1944-1953,pending,applied_alias,6,1949-1951,3,1944-1953,aggregate,draft,assigned,False,True,False,False,high,False,nested_reporting
99,virgin islands|fao1952|1938-1951,Virgin Islands,fao1952,VGB-1800-2025,pending,alias,6,1938-1951,4,1800-2025,national,draft,assigned,False,True,False,False,,False,nested_reporting
100,windward islands|fao1952|1950-1950,Windward Islands,fao1952,WIN-1833-1960,pending,applied_alias,6,1950-1950,1,1833-1960,colonial,draft,proxy,False,True,False,False,high,False,nested_reporting
101,bahamas|fao1952|1949-1951,Bahamas,fao1952,BHS-1800-2025,pending,name,5,1949-1951,3,1800-2025,national,draft,proxy,False,True,False,False,,False,nested_reporting
102,cambodia|fao1952|1949-1950,Cambodia,fao1952,KHM-1907-1953,pending,name,5,1949-1950,2,1907-1953,national,draft,assigned,False,True,False,False,,False,nested_reporting
103,china|fao1952|1937-1938,China,fao1952,CHN-1932-1945,pending,name,5,1937-1938,2,1932-1945,national,draft,assigned,False,True,False,False,,False,nested_reporting
104,leeward islands antigua|fao1952|1950-1950,Leeward Islands  Antigua,fao1952,ATG-1800-2025,pending,applied_alias,5,1950-1950,1,1800-2025,national,draft,proxy,False,True,False,False,high,False,nested_reporting
105,leeward islands montserrat|fao1952|1950-1950,Leeward Islands  Montserrat,fao1952,MSR-1800-2025,pending,applied_alias,5,1950-1950,1,1800-2025,national,draft,assigned,False,True,False,False,high,False,nested_reporting
106,leeward islands st kitts nevis|fao1952|1950-1950,Leeward Islands  St Kitts & Nevis,fao1952,KNA-1800-2025,pending,applied_alias,5,1950-1950,1,1800-2025,national,draft,assigned,False,True,False,False,high,False,nested_reporting
107,libya fezzan|fao1952|1948-1949,Libya Fezzan,fao1952,FEZ-1943-1951,pending,applied_alias,5,1948-1949,2,1943-1951,national,draft,proxy,False,True,False,False,high,False,nested_reporting
108,windward islands st vincent|fao1952|1950-1950,Windward Islands  St Vincent,fao1952,VCT-1833-2025,pending,applied_alias,5,1950-1950,1,1833-2025,national,draft,assigned,False,True,False,False,high,False,nested_reporting
109,br west indies antigua|fao1952|1951-1951,Br West Indies Antigua,fao1952,ATG-1800-2025,pending,applied_alias,4,1951-1951,1,1800-2025,national,draft,proxy,False,True,False,False,high,False,nested_reporting
110,br west indies grenada|fao1952|1951-1951,Br West Indies Grenada,fao1952,GRD-1800-2025,pending,applied_alias,4,1951-1951,1,1800-2025,national,draft,proxy,False,True,False,False,high,False,nested_reporting
111,british w indies trinidad and tobago|fao1952|1938-1951,British W Indies Trinidad and Tobago,fao1952,TTO-1800-2025,pending,applied_alias,4,1938-1951,3,1800-2025,national,draft,assigned,False,True,False,False,high,False,nested_reporting
112,british west indies dominica|fao1952|1938-1951,British West Indies Dominica,fao1952,DMA-1800-2025,pending,applied_alias,4,1938-1951,4,1800-2025,national,draft,assigned,False,True,False,False,high,False,nested_reporting
113,british west indies st l cia|fao1952|1938-1951,British West Indies St L cia,fao1952,LCA-1838-2025,pending,applied_alias,4,1938-1951,4,1838-2025,national,draft,assigned,False,True,False,False,high,False,nested_reporting
114,china and manchuria|fao1952|1949-1949,China and Manchuria,fao1952,CHN-1949-1950,pending,applied_alias,4,1949-1949,1,1949-1950,national,draft,assigned,False,True,False,False,high,False,nested_reporting
115,ireland|iia|1913-1913,ireland,iia,IRL-1800-1921,pending,iso,4,1913-1913,1,1800-1921,national,draft,assigned,False,True,False,False,,True,nested_reporting
116,br w indies jamaica|fao1952|1949-1951,Br W Indies Jamaica,fao1952,JAM-1800-2025,pending,applied_alias,3,1949-1951,3,1800-2025,national,draft,assigned,False,True,False,False,high,False,nested_reporting
117,br w indies trinidad and tobago|fao1952|1949-1951,Br W Indies Trinidad and Tobago,fao1952,TTO-1800-2025,pending,applied_alias,3,1949-1951,3,1800-2025,national,draft,assigned,False,True,False,False,high,False,nested_reporting
118,british west indies antigua|fao1952|1949-1950,British West Indies Antigua,fao1952,ATG-1800-2025,pending,applied_alias,3,1949-1950,2,1800-2025,national,draft,proxy,False,True,False,False,high,False,nested_reporting
119,british west indies virgin islands|fao1952|1950-1951,British West Indies Virgin Islands,fao1952,VGB-1800-2025,pending,applied_alias,3,1950-1951,2,1800-2025,national,draft,assigned,False,True,False,False,high,False,nested_reporting
120,gold coast and br tog|fao1952|1949-1951,Gold Coast and Br Tog,fao1952,GCT-1919-1956,pending,applied_alias,3,1949-1951,3,1919-1956,aggregate,draft,assigned,False,True,False,False,high,False,nested_reporting
121,gold coast br togoland|fao1952|1949-1951,Gold Coast & Br Togoland,fao1952,GCT-1919-1956,pending,applied_alias,3,1949-1951,3,1919-1956,aggregate,draft,assigned,False,True,False,False,high,False,nested_reporting
122,jamaica st lucia|fao1952|1949-1951,Jamaica St Lucia,fao1952,LCA-1838-2025,pending,applied_alias,3,1949-1951,3,1838-2025,national,draft,assigned,False,True,False,False,high,False,nested_reporting
123,jamaica st vincent|fao1952|1949-1951,Jamaica St Vincent,fao1952,VCT-1833-2025,pending,applied_alias,3,1949-1951,3,1833-2025,national,draft,assigned,False,True,False,False,high,False,nested_reporting
124,malaya federation of and singapore|fao1952|1951-1951,Malaya Federation of and Singapore,fao1952,MASG-1946-1963,pending,applied_alias,3,1951-1951,1,1946-1963,aggregate,draft,assigned,False,True,False,False,high,False,nested_reporting
125,trinidad and tobago|fao1952|1938-1951,Trinidad and Tobago,fao1952,TTO-1800-2025,pending,name,3,1938-1951,2,1800-2025,national,draft,assigned,False,True,False,False,,False,nested_reporting
126,br west indies leeward is|fao1952|1949-1949,Br West Indies Leeward Is,fao1952,BLI-1833-1960,pending,applied_alias,2,1949-1949,1,1833-1960,colonial,draft,proxy,False,True,False,False,high,False,nested_reporting
127,british west indies jamaica and dependencies|fao1952|1937-1951,British West Indies Jamaica and Dependencies,fao1952,JAM-1800-2025,pending,applied_alias,2,1937-1951,2,1800-2025,national,draft,assigned,False,True,False,False,high,False,nested_reporting
128,british west indies leeward is|fao1952|1950-1950,British West Indies Leeward Is,fao1952,BLI-1833-1960,pending,applied_alias,2,1950-1950,1,1833-1960,colonial,draft,proxy,False,True,False,False,high,False,nested_reporting
129,china hong kong sar|iia|1924-1924,"china, hong kong sar",iia,HKG-1842-2025,pending,iso,2,1924-1924,1,1842-2025,national,draft,assigned,False,True,False,False,,False,nested_reporting
130,china taiwan province of|iia|1945-1945,"china, taiwan province of",iia,TWN-1945-2025,pending,iso,2,1945-1945,1,1945-2025,national,draft,assigned,False,True,False,False,,False,nested_reporting
131,czech republic|iia|1910-1918,czech republic,iia,CZE-1804-1918,pending,iso,2,1910-1918,2,1804-1918,national,draft,assigned,False,True,False,True,,False,nested_reporting
132,estonia|iia|1940-1944,estonia,iia,EST-1940-1991,pending,iso,2,1940-1944,2,1940-1991,national,draft,assigned,False,True,False,False,,False,nested_reporting
133,russian federation|iia|1945-1945,russian federation,iia,F228-1945-1991,pending,applied_alias,2,1945-1945,1,1945-1991,national,draft,assigned,False,True,False,False,high,False,nested_reporting
134,tripolitania|fao1952|1949-1951,Tripolitania,fao1952,TRP-1943-1951,pending,applied_alias,2,1949-1951,2,1943-1951,national,draft,proxy,False,True,False,True,high,False,nested_reporting
135,british west indies montserrat|fao1952|1951-1951,British West Indies Montserrat,fao1952,MSR-1800-2025,pending,applied_alias,1,1951-1951,1,1800-2025,national,draft,assigned,False,True,False,False,high,False,nested_reporting
136,british west indies st kitts nevis|fao1952|1951-1951,British West Indies St Kitts-Nevis,fao1952,KNA-1800-2025,pending,applied_alias,1,1951-1951,1,1800-2025,national,draft,assigned,False,True,False,False,high,False,nested_reporting
137,jamaica trinidad and tobago|fao1952|1951-1951,Jamaica Trinidad and Tobago,fao1952,TTO-1800-2025,pending,applied_alias,1,1951-1951,1,1800-2025,national,draft,assigned,False,True,False,False,high,False,nested_reporting
138,russian federation|mitchell|1896-1905,russian federation,mitchell,F228-1856-1905,pending,iso,10,1896-1905,10,1856-1905,national,draft,assigned,False,False,False,True,,False,boundary_year
139,italy|fao1952|1937-1951,Italy,fao1952,ITA-1919-2025,pending,name,364,1937-1951,8,1919-2025,national,draft,assigned,False,False,False,False,,False,weak_route
140,united states|fao1952|1931-1951,United States,fao1952,USA-1867-1959,pending,name,331,1931-1951,9,1867-1959,national,draft,assigned,False,False,False,False,,False,weak_route
141,natal|mitchell|1852-1894,natal,mitchell,NAT-1843-1895,pending,name,305,1852-1894,42,1843-1895,national,reviewed,assigned,True,False,False,False,,False,weak_route
142,mexico|fao1952|1937-1951,Mexico,fao1952,MEX-1848-2025,pending,name,264,1937-1951,8,1848-2025,national,draft,assigned,False,False,False,False,,False,weak_route
143,spain|fao1952|1937-1951,Spain,fao1952,ESP-1800-2025,pending,name,264,1937-1951,8,1800-2025,national,draft,assigned,False,False,False,False,,False,weak_route
144,brazil|fao1952|1937-1951,Brazil,fao1952,BRA-1909-2025,pending,name,263,1937-1951,8,1909-2025,national,draft,assigned,False,False,False,False,,False,weak_route
145,austria|fao1952|1937-1951,Austria,fao1952,AUT-1919-2025,pending,name,259,1937-1951,8,1919-2025,national,draft,assigned,False,False,False,False,,False,weak_route
146,new zealand|fao1952|1937-1951,New Zealand,fao1952,NZL-1840-2025,pending,name,259,1937-1951,8,1840-2025,national,draft,assigned,False,False,False,False,,False,weak_route
147,netherlands|fao1952|1937-1951,Netherlands,fao1952,NLD-1830-2025,pending,name,253,1937-1951,8,1830-2025,national,draft,assigned,False,False,False,False,,False,weak_route
148,peru|fao1952|1947-1951,Peru,fao1952,PER-1942-2025,pending,name,245,1947-1951,5,1942-2025,national,reviewed,assigned,True,False,False,False,,False,weak_route
149,belgium|fao1952|1937-1951,Belgium,fao1952,BEL-1831-2025,pending,name,244,1937-1951,7,1831-2025,national,draft,assigned,False,False,False,False,,False,weak_route
150,sweden|fao1952|1937-1951,Sweden,fao1952,SWE-1905-2025,pending,name,230,1937-1951,7,1905-2025,national,draft,assigned,False,False,False,False,,False,weak_route
