verify_order,key,label,source,candidate,status,route,rows,years_observed,n_distinct_years,candidate_period,polity_type,wiki_status,polygon_status,verified_equal_reachable,nested_reporting,inclusion_impossible,boundary_year,alias_precedent_confidence,banked_precedent,tier
515,russian federation|mitchell|1940-1940,russian federation,mitchell,F228-1940-1945,pending,applied_alias,1,1940-1940,1,1940-1945,national,draft,assigned,False,False,False,False,high,False,precedent
516,tanzania|iia|1921-1921,tanzania,iia,TAN-1920-1922,pending,applied_alias,1,1921-1921,1,1920-1922,national,draft,assigned,False,False,False,False,medium,False,precedent
517,austria|juan|1918-1918,austria,juan,AUT-1918-1919,pending,iso,30,1918-1918,1,1918-1919,national,draft,assigned,False,False,False,False,,False,thin
518,germany|juan|1919-1919,germany,juan,DEU-1919-1920,pending,iso,27,1919-1919,1,1919-1920,national,draft,assigned,False,False,False,False,,False,thin
519,nigeria|mitchell|1960-1960,nigeria,mitchell,NGA-1960-1961,pending,iso,16,1960-1960,1,1960-1961,national,draft,assigned,False,False,False,False,,False,thin
520,senegal|mitchell|1960-1960,senegal,mitchell,SEN-1960-2025,pending,iso,14,1960-1960,1,1960-2025,national,draft,assigned,False,False,False,False,,False,thin
521,denmark|juan|1861-1861,denmark,juan,DNK-1800-1864,pending,iso,11,1861-1861,1,1800-1864,national,draft,assigned,False,False,False,False,,False,thin
522,lithuania|juan|1940-1940,lithuania,juan,LTU-1940-1991,pending,iso,11,1940-1940,1,1940-1991,national,draft,assigned,False,False,False,False,,False,thin
523,burkina faso|mitchell|1960-1960,burkina faso,mitchell,BFA-1960-2025,pending,iso,10,1960-1960,1,1960-2025,national,draft,assigned,False,False,False,False,,False,thin
524,bolivia|iia|1938-1938,bolivia,iia,BOL-1938-2025,pending,iso,9,1938-1938,1,1938-2025,national,reviewed,assigned,True,False,False,False,,False,thin
525,mali|mitchell|1960-1960,mali,mitchell,MLI-1960-2025,pending,iso,7,1960-1960,1,1960-2025,national,draft,assigned,False,False,False,False,,False,thin
526,benin|mitchell|1960-1960,benin,mitchell,BEN-1960-2025,pending,iso,6,1960-1960,1,1960-2025,national,draft,assigned,False,False,False,False,,False,thin
527,togo|mitchell|1960-1960,togo,mitchell,TGO-1960-2025,pending,iso,6,1960-1960,1,1960-2025,national,draft,assigned,False,False,False,False,,False,thin
528,colombia|juan|1900-1902,colombia,juan,COL-1830-1903,pending,iso,5,1900-1902,3,1830-1903,national,draft,assigned,False,False,False,False,,False,thin
529,ethiopia pdr|iia|1936-1940,ethiopia pdr,iia,ETH-1936-1941,pending,iso,5,1936-1940,5,1936-1941,national,draft,assigned,False,False,False,False,,False,thin
530,germany|mitchell|1866-1870,germany,mitchell,DEU-1866-1871,pending,iso,5,1866-1870,5,1866-1871,national,draft,assigned,False,False,False,False,,False,thin
531,kiribati|iia|1929-1933,kiribati,iia,KIR-1800-2025,pending,iso,5,1929-1933,5,1800-2025,national,draft,assigned,False,False,False,False,,False,thin
532,nigeria|iia|1913-1913,nigeria,iia,NGA-1886-1914,pending,iso,5,1913-1913,1,1886-1914,national,draft,assigned,False,False,False,False,,False,thin
533,peru|iia|1942-1945,peru,iia,PER-1942-2025,pending,iso,5,1942-1945,4,1942-2025,national,reviewed,assigned,True,False,False,False,,False,thin
534,singapore|mitchell|1956-1960,singapore,mitchell,SGP-1946-1963,pending,iso,5,1956-1960,5,1946-1963,colonial,draft,assigned,False,False,False,False,,False,thin
535,south korea|iia|1945-1945,south korea,iia,KOR-1945-1948,pending,iso,5,1945-1945,1,1945-1948,national,draft,assigned,False,False,False,False,,False,thin
536,austria|iia|1918-1918,austria,iia,AUT-1918-1919,pending,iso,4,1918-1918,1,1918-1919,national,draft,assigned,False,False,False,False,,False,thin
537,chile|mitchell|1900-1901,chile,mitchell,CHL-1899-1902,pending,iso,4,1900-1901,2,1899-1902,national,reviewed,assigned,True,False,False,False,,False,thin
538,ethiopia pdr|iia|1932-1935,ethiopia pdr,iia,ETH-1907-1936,pending,iso,4,1932-1935,4,1907-1936,national,draft,assigned,False,False,False,False,,False,thin
539,ethiopia pdr|iia|1942-1945,ethiopia pdr,iia,ETH-1941-1952,pending,iso,4,1942-1945,4,1941-1952,national,draft,assigned,False,False,False,False,,False,thin
540,germany|iia|1919-1919,germany,iia,DEU-1919-1920,pending,iso,4,1919-1919,1,1919-1920,national,draft,assigned,False,False,False,False,,False,thin
541,kenya|mitchell|1902-1905,kenya,mitchell,KEN-1902-1907,pending,iso,4,1902-1905,4,1902-1907,national,draft,assigned,False,False,False,False,,False,thin
542,latvia|juan|1913-1913,latvia,juan,LVA-1800-1918,pending,iso,4,1913-1913,1,1800-1918,national,draft,assigned,False,False,False,False,,False,thin
543,lesotho|mitchell|1875-1875,lesotho,mitchell,LSO-1868-1886,pending,iso,4,1875-1875,1,1868-1886,national,draft,assigned,False,False,False,False,,False,thin
544,lithuania|juan|1913-1913,lithuania,juan,LTU-1800-1918,pending,iso,4,1913-1913,1,1800-1918,national,draft,assigned,False,False,False,False,,False,thin
545,mauritania|mitchell|1960-1960,mauritania,mitchell,MRT-1960-1975,pending,iso,4,1960-1960,1,1960-1975,national,draft,assigned,False,False,False,False,,False,thin
546,somalia|mitchell|1960-1960,somalia,mitchell,SOM-1960-2025,pending,iso,4,1960-1960,1,1960-2025,national,draft,assigned,False,False,False,False,,False,thin
547,syrian arab republic|mitchell|1920-1921,syrian arab republic,mitchell,SYR-1920-1922,pending,iso,4,1920-1921,2,1920-1922,national,draft,assigned,False,False,False,False,,False,thin
548,thailand|mitchell|1907-1908,thailand,mitchell,THA-1907-1909,pending,iso,4,1907-1908,2,1907-1909,national,draft,assigned,False,False,False,False,,False,thin
549,indonesia|iia|1945-1945,indonesia,iia,IDN-1945-1949,pending,iso,3,1945-1945,1,1945-1949,national,draft,assigned,False,False,False,False,,False,thin
550,libya|iia|1922-1924,libya,iia,LBY-1919-1925,pending,iso,3,1922-1924,2,1919-1925,national,draft,assigned,False,False,False,False,,False,thin
551,central african republic|mitchell|1958-1959,central african republic,mitchell,CAF-1919-1960,pending,iso,2,1958-1959,2,1919-1960,national,draft,assigned,False,False,False,False,,False,thin
552,chad|mitchell|1960-1960,chad,mitchell,TCD-1960-2025,pending,iso,2,1960-1960,1,1960-2025,national,draft,assigned,False,False,False,False,,False,thin
553,colombia|mitchell|1901-1902,colombia,mitchell,COL-1830-1903,pending,iso,2,1901-1902,2,1830-1903,national,draft,assigned,False,False,False,False,,False,thin
554,germany|mitchell|1947-1948,germany,mitchell,DEU-1945-1949,pending,iso,2,1947-1948,2,1945-1949,national,draft,assigned,False,False,False,False,,False,thin
555,ghana|mitchell|1896-1897,ghana,mitchell,GHA-1888-1898,pending,iso,2,1896-1897,2,1888-1898,national,draft,assigned,False,False,False,False,,False,thin
556,hungary|iia|1918-1919,hungary,iia,HUN-1918-1920,pending,iso,2,1918-1919,2,1918-1920,national,draft,assigned,False,False,False,False,,False,thin
