"year","country","iso_draft","polity_name","FAOSTAT_name","item","item_code","value","unit","area_code","region","region_UN","iso3c","polity_code","Source","source_file","sheet"
1903,"Algeria","DZA","Algeria","Algeria","Wheat",15,1418000,"ha",4,"Northern Africa","Africa","DZA","DZA","mitchell","2.xlsx","page_2_table_1"
1903,"Algeria","DZA","Algeria","Algeria","Wheat",15,926000,"tonnes",4,"Northern Africa","Africa","DZA","DZA","mitchell","page51-100.xlsx","page_7_table_1"
1903,"Algeria","DZA","Algeria","Algeria","Wine",564,652311,"tonnes",4,"Northern Africa","Africa","DZA","DZA","mitchell","page151-200.xlsx","page_34_table_1"
1903,"Angola","AGO","Angola","Angola","Coffee, green",656,5000,"tonnes",7,"Southern Africa","Africa","AGO","AGO","mitchell","page151-200.xlsx","page_11_table_1"
1903,"Argentina","ARG","Argentina","Argentina","Flax fibre and tow",773,1488000,"ha",9,"South America","Americas","ARG","ARG","mitchell","page451-500.xlsx","page_3_table_1"
1903,"Argentina","ARG","Argentina","Argentina","Sugar Raw Centrifugal",162,143000,"tonnes",9,"South America","Americas","ARG","ARG","mitchell","page401-450.xlsx","page_49_table_2"
1903,"Argentina","ARG","Argentina","Argentina","Tobacco, unmanufactured",826,10000,"ha",9,"South America","Americas","ARG","ARG","mitchell","page451-500.xlsx","page_22_table_1 (2)"
1903,"Argentina","ARG","Argentina","Argentina","Wine",564,187308,"tonnes",9,"South America","Americas","ARG","ARG","mitchell","page451-500.xlsx","page_46_table_1"
1903,"Argentina","ARG","Argentina","Argentina","Wine",564,50000,"ha",9,"South America","Americas","ARG","ARG","mitchell","page451-500.xlsx","page_46_table_1 (2)"
1903,"Australia","AUS","Australia","Australia","Barley",44,49000,"ha",10,"Oceania","Oceania","AUS","AUS","mitchell","page51-100.xlsx","page_3_table_1"
1903,"Australia","AUS","Australia","Australia","Barley",44,61000,"tonnes",10,"Oceania","Oceania","AUS","AUS","mitchell","page101-150.xlsx","page_16_table_1"
1903,"Australia","AUS","Australia","Australia","Beer of barley",51,158400,"tonnes",10,"Oceania","Oceania","AUS","AUS","mitchell","mitchell_beer_956-971.xlsx","page_970_table_3"
1903,"Australia","AUS","Australia","Australia","Cattle",866,7063000,"heads",10,"Oceania","Oceania","AUS","AUS","mitchell","Livestock pt II (extracted from 301-350).xlsx","page_9_table_1"
1903,"Australia","AUS","Australia","Australia","Horses",1096,1154000,"heads",10,"Oceania","Oceania","AUS","AUS","mitchell","Livestock pt II (extracted from 301-350).xlsx","page_9_table_1"
1903,"Australia","AUS","Australia","Australia","Maize",56,151000,"ha",10,"Oceania","Oceania","AUS","AUS","mitchell","page51-100.xlsx","page_3_table_1"
1903,"Australia","AUS","Australia","Australia","Maize",56,246000,"tonnes",10,"Oceania","Oceania","AUS","AUS","mitchell","page101-150.xlsx","page_16_table_1"
1903,"Australia","AUS","Australia","Australia","Oats",75,251000,"ha",10,"Oceania","Oceania","AUS","AUS","mitchell","page51-100.xlsx","page_3_table_1"
